url,title,segment,target
http://news.hfhouse.com/html/2486089.html,【宝利丰广场】11月进度 徽文化街区全面建设,"【 宝利 丰 广场 】 11月 进度 徽 文化 街区 全面 建设
",1
http://365jia.cn/news/2016-11-15/351360F99DB3A22D_2.html,各类卡通包公亮相地铁1号线 合肥首列主题专列尽显“徽文化”,"各类 卡通 包公 亮相 地铁 1 号 线 合肥 首 列 主题 专列 尽显 “ 徽 文化 ”
",1
http://news.ifeng.com/a/20160930/50050551_0.shtml,"万达徽文化主题乐园大门正式开启,探秘旅程必不可少!","万 达 徽 文化 主题 乐园 大门 正式 开启 , 探秘 旅程 必不可少 !
",1
http://www.ah.xinhuanet.com/edu/zhuanti/jyzxzxd/20161019/3493562_c.html,歙县:传统徽文化与现代精神文明的融合,"歙县 : 传统 徽 文化 与 现代 精神文明 的 融合
",1
http://news.163.com/16/0820/19/BUUGR4VK000146BE.html,近40位海外文化侨社负责人赴皖体验“徽文化”,"近 40 位 海外 文化 侨社 负责人 赴皖 体验 “ 徽 文化 ”
",1
http://www.scxxb.com.cn/html/2016/stny_1025/219245.html,安徽卢村:保护徽文化建设新农村全力打造中国美丽休闲乡村样板,"安徽 卢 村 : 保护 徽 文化 建设 新 农村 全力 打造 中国 美丽 休闲 乡村 样板
",1
http://news.cctv.com/2016/10/04/VIDEbe3TfBkrYCFmh2mm8Tdu161004.shtml,[看东方]安徽徽文化博物馆:梦回古徽州,"[ 看 东方 ] 安徽 徽 文化 博物馆 : 梦 回 古 徽州
",1
http://news.cctv.com/2016/10/03/VIDEcx6m1FZ7BxGHl2Dfw3vd161003.shtml,[东方新闻]安徽徽文化博物馆:梦回古徽州,"[ 东方 新闻 ] 安徽 徽 文化 博物馆 : 梦 回 古 徽州
",1
http://news.163.com/16/0818/09/BUOAB42200014AED.html,学子体验徽文化,"学子 体验 徽 文化
",1
http://www.huaxia.com/xtzx/xcyw/2016/09/5002742.html,一次徽文化的探寻之旅——随访台湾基层人士参访团来宣考察侧记,"一 次 徽 文化 的 探寻 之 旅 —— 随 访 台湾 基层 人士 参访 团 来 宣 考察 侧记
",1
http://news.163.com/16/0810/10/BU3ORCTI00014AED.html,体验徽文化,"体验 徽 文化
",1
http://paper.people.com.cn/rmrbhwb/html/2016-08/05/content_1701256.htm,海归人士子女体验“徽文化” - 人民日报海外版-人民网,"海归 人士 子女 体验 “ 徽 文化 ” - 人民日报 海外版 - 人民网
",1
http://news.163.com/16/0804/10/BTKB4U3V00014SEH.html,贴身保护徽文化“活化石”,"贴身 保护 徽 文化 “ 活化石 ”
",1
http://news.163.com/16/0801/21/BTDQFHNT00014JB6.html,海归人士子女体验“徽文化”,"海归 人士 子女 体验 “ 徽 文化 ”
",1
http://365jia.cn/news/2016-09-24/0791BF6B617FAD97.html,合肥庐江三食六巷美食街正式开街 打造徽文化旅居胜地,"合肥 庐江 三 食 六 巷 美食街 正式 开 街 打造 徽 文化 旅居 胜地
",1
http://www.taiwan.cn/local/anhui/dongtaixinwen/201609/t20160912_11566347.htm,皖、鄂两省青年台胞到歙县考察徽文化,"皖 、 鄂 两 省 青年 台胞 到 歙县 考察 徽 文化
",1
http://news.xinhuanet.com/house/hf/2016-07-15/c_1119226261.htm,雍锦会客厅首期开讲 徽文化传播者君豪带你用创意镌刻人生,"雍锦 会客厅 首 期 开讲 徽 文化 传播者 君豪 带 你 用 创意 镌刻 人生
",1
http://difang.gmw.cn/newspaper/2016-09/07/content_115984579.htm,杨丽萍:将舞蹈元素和徽州文化的魅力结合好,"杨 丽萍 : 将 舞蹈 元素 和 徽州 文化 的 魅力 结合 好
",1
http://auto.ifeng.com/chengdu/shangqing/2016070610124.shtml,蔚揽旅行轿车280 TSI带您领略徽州文化,"蔚 揽 旅行 轿车 280 T S I 带 您 领略 徽州 文化
",1
http://www.ahwang.cn/hefei/20160902/1556198.shtml,巢湖学院大学生赴歙县考察徽文化,"巢湖 学院 大学生 赴 歙县 考察 徽 文化
",1
http://www.eastobacco.com/luyanshichuang/201608/t20160829_409179.html,“红方印”中的徽文化,"“ 红方 印 ” 中 的 徽 文化
",1
http://www.taiwan.cn/local/anhui/dongtaixinwen/201608/t20160816_11539265.htm,2016台湾青年学生徽文化夏令营在滁州市开营,"2016 台湾 青年 学生 徽 文化 夏令营 在 滁州市 开营
",1
http://news.ifeng.com/a/20160712/49337760_0.shtml,花为媒 唱响徽文化 塑品牌 做好徽文章,"花为媒 唱 响 徽 文化 塑 品牌 做好 徽 文章
",1
http://www.chinaqw.com/hwjy/2016/07-20/95977.shtml,海外华裔青少年赴安徽黄山感知徽州文化,"海外 华裔 青少年 赴 安徽 黄山 感知 徽州 文化
",1
http://news.xinhuanet.com/mrdx/2016-07/28/c_135547039.htm,徽州文化园“徽州记忆”活动剪影,"徽州 文化园 “ 徽州 记忆 ” 活动 剪影
",1
http://ah.anhuinews.com/system/2016/11/09/007502064.shtml,绩溪举办中国徽菜美食文化旅游节,"绩溪 举办 中国 徽菜 美食 文化 旅游节
",1
http://www.ah.xinhuanet.com/20160728/3318438_c.html,26个国家青年汉学家来安徽考察徽州文化,"26 个 国家 青年 汉学家 来 安徽 考察 徽州 文化
",1
http://news.163.com/16/0607/11/BOV355M500014AED.html,“窗口”传承徽文化,"“ 窗口 ” 传承 徽 文化
",1
http://news.163.com/16/0603/11/BOKPBHO700014JB6.html,古民居保护的黄山“模式”:守住徽文化“筋骨肉”,"古 民居 保护 的 黄山 “ 模式 ” : 守 住 徽 文化 “ 筋骨肉 ”
",1
http://epaper.anhuinews.com/html/ahsb/20160725/article_3468619.shtml,创文旅新格局传中华徽文化,"创 文 旅 新 格局 传 中华 徽 文化
",1
http://www.edu777.com/jiaoyu/22737.html,第八届全国“徽文化”研究生暑期学校开学,"第八 届 全国 “ 徽 文化 ” 研究生 暑期 学校 开学
",1
http://news.163.com/16/0527/11/BO2O1QKP00014AEE.html,徽州私人藏书贡献徽文化发展(图),"徽州 私人 藏书 贡献 徽 文化 发展 ( 图 )
",1
http://epaper.hf365.com/sqb/gxxw/html/2016-07/14/content_214689.htm,感受徽文化 走进博物馆,"感受 徽 文化 走 进 博物馆
",1
http://money.163.com/16/0521/03/BNIEJLBP00253B0H.html,推动徽文化走向世界,"推动 徽 文化 走向 世界
",1
http://www.soupu.com/news/684425,合肥万达城门票发布!218元如何玩转徽文化乐园,"合肥 万 达 城门 票 发布 ! 218 元 如何 玩 转 徽 文化 乐园
",1
http://news.cctv.com/2016/06/25/VIDE3acyP5kFhRWoTsE1rNTZ160625.shtml,[安徽新闻联播]新创黄梅戏《不越雷池》:融通廉政传统与徽文化,"[ 安徽 新闻 联播 ] 新 创 黄梅戏 《 不 越 雷池 》 : 融通 廉政 传统 与 徽 文化
",1
http://www.ah.xinhuanet.com/20170106/3610948_c.html,"首届《徽文化论坛》暨""安徽地域文化与统战工作""研讨会召开","首 届 《 徽 文化 论坛 》 暨 "" 安徽 地域 文化 与 统战 工作 "" 研讨会 召开
",1
http://www.ahwang.cn/ent/20160728/1544899.shtml,26个国家青年汉学家来安徽考察徽州文化(图),"26 个 国家 青年 汉学家 来 安徽 考察 徽州 文化 ( 图 )
",1
http://www.ah.chinanews.com/news/2016/0829/13524.shtml,李修松会见“文化使者”代表团,"李 修松 会见 “ 文化 使者 ” 代表团
",1
http://ah.anhuinews.com/system/2016/08/22/007442654.shtml,王信出席“文化中国之旅”安徽行启动仪式,"王 信 出席 “ 文化 中国 之 旅 ” 安徽 行 启动 仪式
",1
http://news.ifeng.com/a/20160607/48933329_0.shtml,"协商聚力,更好留住徽文化根脉","协商 聚 力 , 更 好 留住 徽 文化 根脉
",1
http://www.ahtv.cn/c/2016/0626/00803382.html,新创黄梅戏《不越雷池》:融通廉政传统与徽文化,"新创 黄梅戏 《 不 越 雷池 》 : 融通 廉政 传统 与 徽 文化
",1
http://news.163.com/16/0513/11/BMUMNC2K00014AEE.html,鲍家花园之徽文化古风今传(组图),"鲍 家 花园 之 徽 文化 古风 今 传 ( 组图 )
",1
http://news.163.com/16/0512/10/BMS22HIC00014AEE.html,歙县徽班纪念馆展示、传承徽文化(图),"歙县 徽班 纪念馆 展示 、 传承 徽 文化 ( 图 )
",1
http://ah.people.com.cn/n2/2016/0627/c358326-28570334-2.html,“端”行皖江抵达宜城 品黄梅调探徽文化,"“ 端 ” 行 皖江 抵达 宜城 品 黄梅调 探 徽 文化
",1
http://money.163.com/16/0501/13/BLVVHIP900253B0H.html,"黄山市委书记:让徽州文化留下来活起来,是义不容辞的责任","黄山 市委 书记 : 让 徽州 文化 留 下来 活 起来 , 是 义不容辞 的 责任
",1
http://finance.qq.com/a/20160419/050426.htm,黄山旅游:“黄山(景区)+徽文化”双IP资源呼之欲出,"黄山旅游 : “ 黄山 ( 景区 ) + 徽 文化 ” 双 I P 资源 呼之欲出
",1
http://jiangsu.china.com.cn/html/2016/ahnews_0601/5769533.html,"街口镇传承徽文化,徽剧进校园","街口 镇 传承 徽 文化 , 徽剧 进 校园
",1
http://difang.gmw.cn/newspaper/2016-05/31/content_112861675.htm,我市“本土”徽文化创意纪念品喜获全国大奖,"我市 “ 本土 ” 徽 文化 创意 纪念品 喜 获 全国 大奖
",1
http://epaper.anhuinews.com/html/jhsb/20160531/article_3438848.shtml,用石雕续写“徽文化”,"用 石雕 续 写 “ 徽 文化 ”
",1
http://ah.anhuinews.com/system/2016/05/30/007368373.shtml,黄山徽文化纪念品喜获全国大奖,"黄山 徽 文化 纪念品 喜 获 全国 大奖
",1
http://www.newshs.com/tvnews/news/2016/5/26/1464226932175.shtml,简讯:黄山学院开展“徽文化进大位”活动,"简讯 : 黄山 学院 开展 “ 徽 文化 进 大位 ” 活动
",1
http://www.ah.xinhuanet.com/20160518/3149347_c.html,“千古黟技 匠人圣地”徽文化体验传承项目落户西递,"“ 千古黟 技 匠人 圣地 ” 徽 文化 体验 传承 项目 落户 西 递
",1
http://difang.gmw.cn/newspaper/2016-05/20/content_112607985.htm,让徽文化走出去活起来,"让 徽 文化 走 出去 活 起来
",1
http://www.newshs.com/tvnews/news/2016/5/16/1463360859241.shtml,“徽文化”精彩亮相2016深圳文博会,"“ 徽 文化 ” 精彩 亮相 2016 深圳 文博 会
",1
http://news.21cn.com/caiji/roll1/a/2016/0329/22/30839167.shtml,“徽文化”首部百科全书式工具书问世,"“ 徽 文化 ” 首部 百科全书 式 工具书 问世
",1
http://www.ah.xinhuanet.com/20160505/3111612_c.html,“徽文化”本月12日起将亮相深圳文博会,"“ 徽 文化 ” 本月 12日 起 将 亮相 深圳 文博 会
",1
http://money.163.com/16/0328/12/BJ8BSHIE00254TI5.html#from=keyscan,安徽黄山乡村旅游节启幕 “徽文化”遇见“新时尚”,"安徽 黄山乡 村 旅游节 启幕 “ 徽 文化 ” 遇见 “ 新 时尚 ”
",1
http://www.ah.xinhuanet.com/2016-05/01/c_1118781743.htm,合肥蜀山区井岗镇举办徽文化培训班,"合肥 蜀山 区 井 岗镇 举办 徽 文化 培训班
",1
http://www.newshs.com/t/e/d/2016-5-6/1462494663338.shtml,"歙县三阳镇: 探寻徽杭古道,挖掘和保护徽文化","歙县 三阳 镇 : 探寻 徽 杭 古道 , 挖掘 和 保护 徽 文化
",1
http://www.ah.xinhuanet.com/2016-04/25/c_1118723846.htm,黟县谋划打造“匠人圣地”传承徽文化,"黟县 谋划 打造 “ 匠人 圣地 ” 传承 徽 文化
",1
http://sports.eastday.com/s/20160418/u1ai9306274.html,歙(shè)县坡山村:徽文化风光拍摄最佳位置,"歙(s hè ) 县 坡 山村 : 徽 文化 风光 拍摄 最佳 位置
",1
http://365jia.cn/news/2016-04-24/9161015EBE91FC92_2.html,放弃“铁饭碗”南下做印刷 强抓设计欲与徽文化融合并进,"放弃 “ 铁饭碗 ” 南下 做 印刷 强 抓 设计 欲与 徽 文化 融合 并 进
",1
http://www.huaxia.com/hs-tw/htwl/2016/03/4785541.html,兴泽基金会代表台胞何元吉先生一行到歙县考察徽文化,"兴 泽 基金会 代表 台胞 何 元吉 先生 一 行 到 歙县 考察 徽 文化
",1
http://wuhu.house.sina.com.cn/news/2016-04-15/15516126647792254646028.shtml,重塑古镇徽文化 新华联拟斥巨资弘扬黄梅戏,"重塑 古镇 徽 文化 新华 联 拟 斥 巨资 弘扬 黄梅戏
",1
http://www.ah.xinhuanet.com/2016-04/06/c_1118545795.htm,黄山设徽文化网络技术研究中心,"黄山 设 徽 文化 网络 技术 研究 中心
",1
http://epaper.hf365.com/jhcb/html/2016-04/10/content_189050.htm,遇见“金水坊” 邂逅徽文化,"遇见 “ 金水 坊 ” 邂逅 徽 文化
",1
http://cul.qq.com/a/20160325/024198.htm,徽州文化的智慧表征:遍布村落的徽派建筑,"徽州 文化 的 智慧 表征 : 遍布 村落 的 徽派 建筑
",1
http://www.newshs.com/t/a/2016-3-30/1459302300715.shtml,《徽州文化大辞典》首发式举行,"《 徽州 文化 大 辞典 》 首发式 举行
",1
http://jingji.sports.cn/zonghe/other/2016/0329/161400.html,黄山市委书记任泽锋谈'旅游+'及徽文化保护,"黄山 市委 书记 任 泽锋谈' 旅游 +' 及 徽 文化 保护
",1
http://www.ahwang.cn/zbah/20160329/1506664.shtml,黄山今天发行《徽州文化大辞典》,"黄山 今天 发行 《 徽州 文化 大 辞典 》
",1
http://news.ifeng.com/a/20160611/48954406_0.shtml,联谊会助力徽文化传承,"联谊会 助力 徽 文化 传承
",1
http://news.163.com/16/0205/09/BF24OI9I00014AED.html,影视镜头里的“徽文化”(图),"影视 镜头 里 的 “ 徽 文化 ” ( 图 )
",1
http://finance.qq.com/a/20160201/011024.htm,"黄山旅游:餐饮融入徽文化,酒店改造迎合消费升级","黄山旅游 : 餐饮 融入 徽 文化 , 酒店 改造 迎合 消费 升级
",1
http://365jia.cn/news/2016-02-02/968CC23B991FA4C6.html,徽晚临时调档提前至本周五 丫蛋王小利新作融合徽文化 图,"徽 晚 临时 调档 提前 至 本周 五丫 蛋 王 小利 新作 融合 徽 文化 图
",1
http://www.ah.xinhuanet.com/2016-01/28/c_1117926905.htm,黄山创新推动徽文化保护传承,"黄山 创新 推动 徽 文化 保护 传承
",1
http://zgsc.china.com.cn/jianghuai/whys/2016-01-29/459320.html,黄山推动徽文化保护传承 继续推进徽州古建筑保护工程,"黄山 推动 徽 文化 保护 传承 继续 推进 徽州 古建筑 保护 工程
",1
http://news.wehefei.com/system/2016/01/26/010625215.shtml,合肥“银发”旗袍队一年百余场走秀 宣传徽文化,"合肥 “ 银发 ” 旗袍 队 一 年 百 余 场 走 秀 宣传 徽 文化
",1
http://ah.anhuinews.com/system/2016/01/25/007192771.shtml,"传承""徽骆驼"" 再耀徽文化","传承 ""徽 骆驼 "" 再 耀 徽 文化
",1
http://www.scio.gov.cn/dfbd/dfbd/Document/1460493/1460493.htm,海外华裔青少年在皖体验徽文化,"海外 华裔 青少年 在皖 体验 徽 文化
",1
http://money.163.com/14/1224/21/AE8SFQ3100254TI5.html#from=keyscan,安徽合肥徽文化街上的平安夜:东西方文化的和谐融合,"安徽 合肥 徽 文化街 上 的 平安夜 : 东西方 文化 的 和谐 融合
",1
http://www.chinaqw.com/gqqj/2015/06-08/52453.shtml,安徽侨联会见澳洲侨领 冀做徽文化海外传播使者,"安徽 侨联 会见 澳洲 侨领 冀 做 徽 文化 海外 传播 使者
",1
http://work.kids21.cn/dfcz/ahsdfcz/201505/t20150505_331832.htm,徽州区岩寺镇中心学校开展徽文化修学游,"徽州区 岩寺 镇 中心 学校 开展 徽 文化 修 学游
",1
http://news.hefei.cc/2013/1113/022964674.shtml,合肥蜀山源泉徽文化博物馆徽州木雕展 彰显徽文化,"合肥 蜀山 源泉 徽 文化 博物馆 徽州 木雕 展 彰显 徽 文化
",1
http://www.newshs.com/a/20130927/00180.htm,是保护徽文化还是兜售古建筑?,"是 保护 徽 文化 还是 兜售 古建筑 ?
",1
http://www.legaldaily.com.cn/police_and_frontier-defence/content/2012-07/09/content_3691092.htm?node=23300,安徽黄山边检站利用驻地徽文化资源深化主题教育,"安徽 黄山 边检站 利用 驻地 徽 文化 资源 深化 主题 教育
",1
http://ah.anhuinews.com/system/2013/04/14/005587912.shtml?xbtkufuvhfrgwzfk,中国(宣城)徽文化展示基地项目,"中国 ( 宣城 ) 徽 文化 展示 基地 项目
",1
http://www.ahwang.cn/anhui/2011/1005/1089773.shtml,尝徽菜连称六次“very good” 骆家辉盛赞徽文化,"尝 徽菜 连 称 六 次 “ v e r y g o o d ” 骆家辉 盛赞 徽 文化
",1
http://www.newshs.com/a/20110504/00196.htm,总投资45亿 徽州文化艺术长廊项目“胎动”(香港商报),"总 投资 45亿 徽州 文化 艺术 长廊 项目 “ 胎动 ” ( 香港 商报 )
",1
http://ex.cssn.cn/wh/wh_hdzl/201610/t20161004_3223935.shtml,徽州文化“飘香”羊城,"徽州 文化 “ 飘香 ” 羊城
",1
http://news.sina.com.cn/o/2003-09-15/0917753675s.shtml,徽文化醉了两老外,"徽 文化 醉 了 两 老外
",1
http://news.163.com/15/1026/23/B6T187FK00014AED.html,哈尔滨市至黄山市航线开通 3个小时即可感受徽州文化(组图),"哈尔滨市 至 黄山市 航线 开通 3 个 小时 即 可 感受 徽州 文化 ( 组图 )
",1
http://news.163.com/15/1023/09/B6JQ6R1R00014AED.html,打好“徽菜”牌 传播徽文化,"打 好 “ 徽菜 ” 牌 传播 徽 文化
",1
http://news.163.com/15/1016/09/B61O8AHF00014AED.html,徽文化展露“新生态”(图),"徽 文化 展露 “ 新 生态 ” ( 图 )
",1
http://news.163.com/15/1005/08/B55CI0QP00014AED.html,吴笑梅:免费传授剪纸技艺 弘扬徽文化(图),"吴 笑梅 : 免费 传授 剪纸 技艺 弘扬 徽 文化 ( 图 )
",1
http://news.163.com/15/0918/09/B3PMVH3L00014AED.html,瓷都感受徽文化(图),"瓷都 感受 徽 文化 ( 图 )
",1
http://news.163.com/15/0827/16/B21O4D3E00014SEH.html,体验徽文化 架起友谊桥——2015年台湾青年学生徽文化夏令营闭营(图),"体验 徽 文化 架 起 友谊 桥 —— 2015年 台湾 青年 学生 徽 文化 夏令营 闭 营 ( 图 )
",1
http://news.163.com/15/0811/09/B0NRGMMQ00014AED.html,老街“新”客栈 延续“徽文化”,"老街 “ 新 ” 客栈 延续 “ 徽 文化 ”
",1
http://money.163.com/15/0714/18/AUGNGMND00254TI5.html,七国师生走进安徽感受徽文化魅力,"七国 师生 走 进 安徽 感受 徽 文化 魅力
",1
http://gb.cri.cn/43871/2015/06/26/7751s5009931.htm,徽墨与歙砚:笔尖上的徽文化(高清组图),"徽墨 与 歙砚 : 笔尖 上 的 徽 文化 ( 高 清 组图 )
",1
http://news.ifeng.com/a/20151224/46816328_0.shtml,海外华裔青少年零距离体验徽文化,"海外 华裔 青少年 零 距离 体验 徽 文化
",1
http://news.163.com/15/0615/07/AS4S023800014AED.html,纪连海黄山自驾游:“爱国”是徽文化核心之一,"纪 连 海 黄山 自驾游 : “ 爱国 ” 是 徽 文化 核心 之一
",1
http://news.163.com/15/0612/07/ART3RN4B00014AED.html,徽州优秀传统文化展将开展 100多件展品诠释徽文化(组图),"徽州 优秀 传统 文化展 将 开展 100 多 件 展品 诠释 徽 文化 ( 组图 )
",1
http://news.163.com/15/0518/15/APTIPLDJ00014AEE.html,徽文化元素精彩亮相第十一届文博会,"徽 文化 元素 精彩 亮相 第十一 届 文博 会
",1
http://news.163.com/15/0509/10/AP5TTUAC00014JB6.html,"话剧《徽商传奇》亮相国家大剧院 演绎""徽商徽人徽文化""","话剧 《 徽商 传奇 》 亮相 国家 大 剧院 演绎 "" 徽商 徽 人 徽 文化 ""
",1
http://news.163.com/15/0429/17/AOCRPT4U00014AED.html,“把徽文化带到更大舞台上”(图),"“ 把 徽 文化 带 到 更 大 舞台 上 ” ( 图 )
",1
http://gb.cri.cn/43871/2015/05/25/5631s4973544.htm,【非遗】石与刀的碰撞:凝固徽文化符号的徽州石雕,"【 非遗 】 石 与 刀 的 碰撞 : 凝固 徽 文化 符号 的 徽州 石雕
",1
http://news.163.com/15/0409/11/AMOMHPHQ00014AED.html,“徽文化”将集中亮相北京城(图),"“ 徽 文化 ” 将 集中 亮相 北京城 ( 图 )
",1
http://www.chinadaily.com.cn/hqjs/zjtw/2015-05-12/content_13684266.html,台湾屏东县乡里长安徽参访团到歙县感受徽文化,"台湾 屏东 县 乡 里 长 安徽 参访 团 到 歙县 感受 徽 文化
",1
http://news.163.com/15/0401/15/AM4IV4J300014Q4P.html,"这个春天,到徽州体验独特徽文化","这个 春天 , 到 徽州 体验 独特 徽 文化
",1
http://www.chinadaily.com.cn/hqcj/xfly/2015-03-26/content_13441041.html,感受徽文化 体验慢生活 组图,"感受 徽 文化 体验 慢 生活 组图
",1
http://news.xinhuanet.com/photo/2015-03/25/c_127620269.htm,感受徽文化 体验慢生活,"感受 徽 文化 体验 慢 生活
",1
http://news.ifeng.com/a/20150831/44556462_0.shtml,文博蜀山分会场主打“徽文化”,"文博 蜀山 分会场 主打 “ 徽 文化 ”
",1
http://news.xinhuanet.com/legal/2015-03/07/c_127553871.htm,让徽文化化解庭上恩怨,"让 徽 文化 化解 庭上 恩怨
",1
http://news.163.com/15/0213/09/AIATGKC300014JB6.html,徽文化展览走进台北(图),"徽 文化 展览 走 进 台北 ( 图 )
",1
http://news.163.com/15/0211/10/AI5R2HRD00014AED.html,黄山创建徽文化研学旅行基地,"黄山 创建 徽 文化 研 学 旅行 基地
",1
http://www.chinadaily.com.cn/hqcj/xfly/2015-02-08/content_13199950.html,徽文化研学旅行实践教育基地在黄山市创建,"徽 文化 研 学 旅行 实践 教育 基地 在 黄山市 创建
",1
http://news.163.com/15/0206/09/AHOTCFF100014AED.html,“徽文化”浸润羊年春晚(图),"“ 徽 文化 ” 浸润 羊年 春晚 ( 图 )
",1
http://www.chinadaily.com.cn/hqcj/xfly/2015-02-04/content_13177599.html,创建徽文化研学旅行实践教育基地研讨会圆满举行,"创建 徽 文化 研 学 旅行 实践 教育 基地 研讨会 圆满 举行
",1
http://news.163.com/15/0204/07/AHJHON8100014AED.html,安徽省将实施职业教育“徽文化传承工程”,"安徽省 将 实施 职业 教育 “ 徽 文化 传承 工程 ”
",1
http://news.sina.com.cn/o/2014-12-26/063931329766.shtml,古徽州文化旅游区 览徽州文化的胜地,"古 徽州 文化 旅游区 览 徽州 文化 的 胜地
",1
http://news.163.com/14/1225/12/AEAEVSCP00014AED.html,逛后街品味徽文化(图),"逛 后街 品味 徽 文化 ( 图 )
",1
http://news.xinhuanet.com/yzyd/local/20141210/c_1113594173.htm,台盟中央委员陈宜安来安徽歙县考察徽文化,"台盟 中央委员 陈 宜安 来安 徽 歙县 考察 徽 文化
",1
http://news.163.com/14/1107/17/AAFDFBO600014JB6.html,美国驻上海新科总领事:徽文化令人印象深刻,"美国 驻 上海 新科 总领事 : 徽 文化 令 人 印象 深刻
",1
http://www.newskj.org/kxzc/2015123143276.html,安徽省徽学学会学术年会暨“传统与变迁:徽文化与当代中国”学术...,"安徽省 徽学 学会 学术 年会 暨 “ 传统 与 变迁 : 徽 文化 与 当代 中国 ” 学术 ...
",1
http://www.newshs.com/tvlife/farmer/2015/12/23/1450832138569.shtml,传承徽文化 第二届徽州民歌大赛举行,"传承 徽 文化 第二 届 徽州 民歌 大赛 举行
",1
http://edu.gmw.cn/newspaper/2015-08/09/content_108447493.htm,德国中学生 来肥体验徽文化,"德国 中学生 来 肥 体验 徽 文化
",1
http://www.newshs.com/t/a/2015-12-21/1450681266346.shtml,徽文化移动互联技术研究中心成立,"徽 文化 移动 互联 技术 研究 中心 成立
",1
http://news.163.com/14/1007/00/A7TPHUJE00014AEF.html,婺源:徽文化度假宅院跑火,"婺源 : 徽 文化 度假 宅院 跑 火
",1
http://www.chinaqw.com/zhwh/2015/07-17/57337.shtml,安徽黄梅戏走进新西兰 海外弘扬“徽文化”(图),"安徽 黄梅戏 走 进 新西兰 海外 弘扬 “ 徽 文化 ” ( 图 )
",1
http://news.163.com/14/0917/12/A6BINQ0D00014AED.html,法国艺术家体验徽文化(图),"法国 艺术家 体验 徽 文化 ( 图 )
",1
http://cpc.people.com.cn/pinglun/n/2014/0915/c241220-25664305.html,“徽文化”当扛起“五个一工程”这面旗,"“ 徽 文化 ” 当 扛 起 “ 五 个 一 工程 ” 这 面 旗
",1
http://tv.people.com.cn/n/2015/0630/c150721-27232160.html,胡家迅:以徽文化和体育旅游来扩大徽杭古道的影响力,"胡 家迅 : 以 徽 文化 和 体育 旅游 来 扩大 徽 杭 古道 的 影响力
",1
http://www.newshs.com/t/e/b/2015-11-2/1446446831151.shtml,徽州区潜口镇:唐模景区被评为首个省级徽文化研学基地,"徽州区 潜 口 镇 : 唐 模 景区 被 评为 首 个 省级 徽 文化 研 学 基地
",1
http://www.newshs.com/a/20151027/00146.htm,【音频】“徽商、徽班、徽文化”论坛在黄山市举行,"【 音频 】 “ 徽商 、 徽班 、 徽 文化 ” 论坛 在 黄山市 举行
",1
http://house.hexun.com/2015-08-18/178401360.html,芜湖伟星和院:千年徽文化的现代传承|组图,"芜湖 伟 星 和 院 : 千 年 徽 文化 的 现代 传承 | 组图
",1
http://www.ah.xinhuanet.com/2015-08/17/c_1116279422.htm,合肥版夫子庙!裕丰花市徽文化成气候,"合肥 版 夫子庙 ! 裕 丰 花市 徽 文化 成气候
",1
