,year,title,authors
55,1973,Evolutionsstrategie: Optimierung Technischer Systeme nach Prinzipien der Biologischen Evolution,Rechenberg I.
56,2007,Evaluation of policy gradient methods and variants on the cart–pole benchmark,Riedmiller M.
57,1997,Experiments with reinforcement learning in problems with continuous state and action spaces,Santamaria J.C.
58,1995,Evolving neural control systems,Saravanan N.
59,1996,Guessing can outperform many long time lag algorithms,Schmidhuber J.
60,1995,"Evolution and Optimum Seeking, Sixth-Generation Comput",Schwefel H.-P.
61,2007,"Evolutionary reinforcement learning of artificial neural networks, Internat",Siebel Nils T.
62,2001,"Strukturoptimierung rückgekoppelter neuronaler Netze. Konzepte neuronaler Informationsverarbeitung, ibidem-Verlag",Stagge P.
63,2002,"Evolving neural networks through augmenting topologies, Evol",Stanley K.O.
64,1998,Reinforcement Learning: An Introduction,Sutton R.S.
65,2000,"Policy gradient methods for reinforcement learning with function approximation, in: Adv",Sutton R.S.
66,2009,"Efficient covariance matrix update for variable metric evolution strategies, Mach",Suttorp T.
67,2008,Learning what to ignore: Memetic climbing in topology and weight space,Togelius J.
68,2008,Countering poisonous inputs with memetic neuroevolution,Togelius J.
69,1992,Learn,Watkins C.J.C.H.
70,2006,Evolutionary function approximation for reinforcement learning,Whiteson S.
71,1993,"Genetic reinforcement learning for neurocontrol problems, Mach",Whitley D.
72,1991,Evolving controls for unstable systems,Wieland A.
73,2007,Solving deep memory POMDPs with recurrent policy gradients,Wierstra D.
74,1999,"Evolving artificial neural networks, Proc",Yao X.
75,2017,Constrained Policy Optimization”,Achiam J.
76,2018,Modular meta-learning”,Alet F.
78,2018,Safe Reinforcement Learning via Shielding”,Alshiekh M.
79,2015,Syntax-Guided Synthesis”,Alur R.
80,2019,MathQA: Towards interpretable math word problem solving with operation-based formalisms”,Amini A.
81,2020,Neuro-Symbolic Visual Reasoning: Disentangling “Visual” from “Reasoning””,Amizadeh S.
82,2019,Optimization and abstraction: a synergistic approach for analyzing neural network robustness”,Anderson G.
83,2020,Neurosymbolic Reinforcement Learning with Formally Verified Exploration”,Anderson G.
84,2020,Task-Oriented Dialogue as Dataflow Synthesis”,Andreas J.
85,2016,Learning to Compose Neural Networks for Question Answering”,Andreas J.
86,2016,Neural module networks”,Andreas J.
87,2016,DeepCoder: Learning to Write Programs”,Balog M.
88,2010,Divine: Parallel distributed model checker”,Barnat J.
89,2010,The SMT-LIB Standard Version 2.6,References Barrett C.
90,2018,Recognition in Terra Incognita”,Beery S.
91,2019,From System 1 Deep Learning to System 2 Deep Learning”,Bengio Y.
92,2009,Discriminative learning under covariate shift,Bickel S.
93,2019,Pyro: Deep Universal Probabilistic Programming”,Bingham E.
94,2017,Stan: A probabilistic programming language”,Carpenter B.
95,2010,Smooth interpretation”,Chaudhuri S.
96,2020,A simple framework for contrastive learning of visual representations”,Chen T.
97,2016,Robust covariate shift regression”,Chen X.
98,2019,Neural symbolic reader: Scalable integration of distributed and symbolic representations for reading comprehension”,Chen X.
99,2020,Program Synthesis Using Deduction-Guided Reinforcement Learning”,Chen Y.
100,2019,Control regularization for reduced variance reinforcement learning”,Cheng R.
101,2018,A Lyapunov-based approach to safe reinforcement learning”,Chow Y.
102,2020,Discovering symbolic models from deep learning with inductive biases”,References Cranmer M.
103,2021,Differentiable Synthesis of Program Architectures”,Cui G.
104,2015,Cud@ sat: Sat solving on gpus”,Dal Palù A.
105,2008,Cross-Task Knowledge-Constrained Self Training”,Daumé H.
106,2007,ProbLog: A Probabilistic Prolog and Its Application in Link Discovery,Raedt L.
107,2013,Bootstrap learning via modular concept discovery”,Dechter E.
108,2016,Formal verification of ethical choices in autonomous systems”,Dennis L.
109,2017,RobustFill: Neural Program Learning under Noisy I/O”,Devlin J.
110,2014,Doubly robust policy evaluation and optimization”,Dudík M.
111,2018,Learning libraries of subroutines for neurally–guided Bayesian program induction”,Ellis K.
112,2018,Learning to infer graphics programs from hand-drawn images”,Ellis K.
113,2020,"Dreamcoder: Growing generalizable, interpretable knowledge with wake-sleep Bayesian program learning”",Ellis K.
114,2019,An improved GPU-based SAT model counter”,Fichte J.K.
115,2017,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks”,Finn C.
116,2018,Safe reinforcement learning via formal methods: Toward safe control through proof and learning”,Fulton N.
117,2002,Neuralsymbolic learning systems: foundations and applications,Garcez A.S.d
118,1999,The Connectionist Inductive Learning and Logic Programming System”,Garcez A.S.d’Avila
119,2015,A comprehensive survey on safe reinforcement learning”,Garcıa J.
120,2016,Terpret: A probabilistic programming language for program induction”,Gaunt A.L.
121,2018,AI2 : Safety and robustness certification of neural networks with abstract interpretation”,Gehr T.
122,1992,Learning and extracting finite state automata with second-order recurrent neural networks”,References Giles C.L.
123,2014,Neural turing machines”,Graves A.
124,2015,Learning to transduce with unbounded memory”,Grefenstette E.
125,2017,Program synthesis”,Gulwani S.
126,2012,Seven challenges in parallel SAT solving”,Hamadi Y.
127,1990,The symbol grounding problem”,Harnad S.
128,2019,Using self-supervised learning can improve model robustness and uncertainty”,Hendrycks D.
129,2020,TAPAS: Weakly Supervised Table Parsing via Pre-training”,Herzig J.
130,2020,Learning to learn generative programs with Memoised Wake-Sleep”,Hewitt L.B.
131,2017,Learning to reason: End-to-end module networks for visual question answering”,Hu R.
132,2019,Synthesis and machine learning for heterogeneous extraction”,Iyer A.
133,2019,Sim-toreal via sim-to-sim: Data-efficient robotic grasping via randomizedto-canonical adaptation networks”,James S.
134,2010,Oracle-guided component-based program synthesis”,Jha S.
135,2020,Guiding Dynamic Programing via Structural Probability for Accelerating Programming by Example”,Ji R.
136,2011,"Thinking, fast and slow",Kahneman D.
137,2020,Formalizing traffic rules for uncontrolled intersections”,Karimi A.
138,2020,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data”,References Keysers D.
139,2013,Auto-encoding variational Bayes”,Kingma D.P.
140,2016,Behavioral program synthesis with genetic programming,Krawiec K.
141,2011,Genprog: A generic method for automatic software repair”,Le Goues C.
142,1999,Distributed-memory model checking with SPIN”,Lerda F.
143,2013,Guided policy search”,Levine S.
144,2010,Learning programs: A hierarchical Bayesian approach”,Liang P.
145,2020,Robust regression for safe exploration in control”,Liu A.
146,2019,Learning to Assemble Neural Module Tree Networks for Visual Grounding”,Liu D.
147,2021,A survey on evolutionary neural architecture search”,Liu Y.
148,2018,DeepProbLog: Neural probabilistic logic programming”,Manhaeve R.
149,1971,Toward Automatic Program Synthesis”,Manna Z.
150,2019,Program-guided image manipulators”,Mao J.
151,2019,Rebooting AI: Building artificial intelligence we can trust,Marcus G.
152,2008,Learning to Connect Language and Perception,Mooney R.J.
153,2008,Z3: An Efficient SMT Solver”,Moura L.M.de
154,2018,Neural Sketch Learning for Conditional Program Generation”,Murali V.
155,2011,MCMC Using Hamiltonian Dynamics”,Neal R.M.
156,2015,FlashMeta: a framework for inductive program synthesis”,Polozov O.
157,2016,"Data programming: Creating large training sets, quickly”",Ratner A.J.
158,2020,Automl-zero: Evolving machine learning algorithms from scratch”,Real E.
159,2015,Neural programmer-interpreters”,Reed S.
160,1994,Combining symbolic and neural learning”,Shavlik J.W.
161,2019,Program synthesis and semantic parsing with learned code idioms”,Shin R.
162,2006,Combinatorial sketching for finite programs”,Solar-Lezama A.
163,2020,Learning Web-based Procedures by Reasoning over Explanations and Demonstrations in Context”,Srivastava S.
164,2021,Task programming: Learning data efficient behavior representations”,Sun J.J.
165,2020,Task Programming: Learning Data Efficient Behavior Representations”,Sun J.J.
166,2013,Connectionist-symbolic integration: From unified to hybrid approaches,References Sun R.
167,1999,Between MDPs and semi-MDPs: A framework for temporal abstraction in reinforcement learning”,Sutton R.S.
168,2020,Measuring robustness to natural distribution shifts in image classification”,Taori R.
169,2017,Improving deep learning using generic data augmentation”,Taylor L.
170,2021,Interpreting Expert Annotation Differences in Animal Behavior”,Tjandrasuwita M.
171,2013,Growing solver-aided languages with Rosette”,Torlak E.
172,1993,Extracting refined rules from knowledge-based neural networks”,Towell G.G.
173,1990,Refinement of approximate domain theories by knowledge-based neural networks”,Towell G.G.
174,2020,AI Feynman: A physicsinspired method for symbolic regression”,Udrescu S.-M.
175,2013,TRANSIT: specifying protocols with concolic snippets”,Udupa A.
176,1984,A theory of the learnable”,Valiant L.G.
177,2018,HOUDINI: Lifelong Learning as Program Synthesis”,Valkov L.
178,2019,Probabilistic Neural-symbolic Models for Interpretable Visual Question Answering”,Vedantam R.
179,2019,Imitation-Projected Programmatic Reinforcement Learning”,Verma A.
180,2014,Flexible transfer learning under support and model shift”,Wang X.
181,2014,How transferable are features in deep neural networks?,Yosinski J.
182,2019,Learning neurosymbolic generative models via program synthesis”,Young H.
183,2021,Unsupervised Learning of Neurosymbolic Encoders”,Zhan E.
184,2021,A survey of forex and stock price prediction using deep learning,Hu Z.
185,2018,Reinforcement learning in financial markets-a survey,Fischer T.G.
186,2019,Reinforcement learning in financial markets,Meng T.L.
187,2015,Human-level control through deep reinforcement learning,Mnih V.
188,2008,A peer-to-peer electronic cash system,Nakamoto S.
189,2018,"Fiat Currency: Architecture, Algorithm, Cashflow & Ledger Technology on Emerging Economy: The Influential Facts of Cryptocurrency and Fiat Currency",Islam M.R.
190,2020,On the speculative nature of cryptocurrencies: A study on Garman and Klass volatility measure,Tan S.K.
191,2018,Financial markets prediction with deep learning,Wang J.
192,2018,Neural networks for stock price prediction,Song Y.G.
193,2018,Stock price prediction using support vector regression on daily and up to the minute prices,Henrique B.M.
194,2020,Stock closing price prediction using machine learning techniques,Vijh M.
195,2019,Crypto-currency price prediction using decision tree and regression techniques,Rathan K.
196,2018,Modeling the long term future in model-based reinforcement learning,Ke N.R.
197,2020,Model-based reinforcement learning: A survey,Moerland T.M.
198,2018,Recurrent neural network based bitcoin price prediction by twitter sentiment analysis,Pant D.R.
199,2019,Sentiment Analysis of News for Effective Cryptocurrency Price Prediction,Vo A.D.
200,2021,Forecasting and trading cryptocurrencies with machine learning under changing market conditions,Sebastião H.
201,2020,A deep Q-learning portfolio management framework for the cryptocurrency market,Lucarelli G.
202,2020,Commission Fee is not Enough: A Hierarchical Reinforced Framework for Portfolio Management,Wang R.
203,2021,A Framework of Hierarchical Deep Q-Network for Portfolio Management,Gao Y.
204,2017,A deep reinforcement learning framework for the financial portfolio management problem,Jiang Z.
205,2019,A Multi-Scale Temporal Feature Aggregation Convolutional Neural Network for Portfolio Management,Shi S.
206,2010,Chaotic time series prediction by combining echo-state networks and radial basis function networks,Itoh Y.
207,2020,Data-driven predictions of the Lorenz system,Dubois P.
208,2020,Stock price prediction using convolutional neural networks on a multivariate timeseries,Mehtab S.
209,2020,A deep reinforcement learning framework for continuous intraday market bidding,Boukas I.
210,2020,Beating the Stock Market with a Deep Reinforcement Learning Day Trading System,Conegundes L.
211,2020,Extending Deep Reinforcement Learning Frameworks in Cryptocurrency Market Making,Sadighian J.
212,2015,Application of evolutionary computation for rule discovery in stock algorithmic trading: A literature review,Hu Y.
213,2020,Learning Financial Asset-Specific Trading Rules via Deep Reinforcement Learning,Taghian M.
214,2021,An application of deep reinforcement learning to algorithmic trading,Théate T.
215,2011,Universal portfolios,Cover T.M.
216,2012,On-line portfolio selection with moving average reversion,Li B.
217,1966,Mutual fund performance,Sharpe W.F.
218,1997,Optimization of trading systems and portfolios,Moody J.
219,2019,A Deep Reinforcement Learning Approach to Stock Trading,Gran P.K.
220,2015,An analysis of the maximum drawdown risk measure,Magdon-Ismail M.
221,1998,Reinforcement learning: An introduction,Sutton R.S.
222,2017,Deep reinforcement learning: An overview,Li Y.
223,2016,Deep reinforcement learning: an overview,Mousavi S.S.
224,2017,Deep reinforcement learning: A brief survey,Arulkumaran K.
225,2015,Language understanding for text-based games using deep reinforcement learning,Narasimhan K.
226,2016,Learning to communicate to solve riddles with deep distributed recurrent q-networks,Foerster J.N.
227,2019,Learning representations in reinforcement learning,Heravi J.R.
228,2021,Decoupling representation learning from reinforcement learning,Stooke A.
229,2014,A deep architecture for semantic parsing,Grefenstette E.
230,2019,Time-series anomaly detection service at microsoft,Ren H.
231,2020,Probabilistic forecasting with temporal convolutional neural network,Chen Y.
232,2020,Adaptive stock trading strategies with deep reinforcement learning methods,Wu X.
233,2019,Quantitative trading on stock market based on deep reinforcement learning,Jia W.
234,2019,Deep LSTM with reinforcement learning layer for financial trend prediction in FX high frequency trading systems,Rundo F.
235,2020,Action-specialized expert ensemble trading system with extended discrete action space using deep reinforcement learning,Leem J.
236,2019,"Improving financial trading decisions using deep Q-learning: Predicting the number of shares, action strategies, and transfer learning",Jeong G.
237,2020,Time-driven feature-aware jointly deep reinforcement learning for financial signal representation and algorithmic trading,Lei K.
238,2021,Deep reinforcement learning based trading agents: Risk curiosity driven learning for financial rules-based policy,Hirchoua B.
239,2020,Deep reinforcement learning agent for S&P 500 stock selection,Huotari T.
240,2021,Diversity-driven knowledge distillation for financial trading using Deep Reinforcement Learning,Tsantekidis A.
241,2021,Portfolio management system in equity market neutral using reinforcement learning,Wu M.E.
242,2020,Portfolio trading system of digital currencies: A deep reinforcement learning with multidimensional attention gating mechanism,Weng L.
243,2011,PILCO: A model-based and data-efficient approach to policy search,Deisenroth M.
244,2013,Guided policy search,Levine S.
245,2015,Reinforcement learning improves behaviour from evaluative feedback,Littman M.L.
246,1994,"Autoencoders, minimum description length, and Helmholtz free energy",Hinton G.E.
247,2015,Continuous control with deep reinforcement learning,Lillicrap T.P.
248,2016,Reinforcement learning with unsupervised auxiliary tasks,Jaderberg M.
249,1989,Learning from delayed rewards,Watkins Christopher John Cornish Hellaby
251,2019,Policy gradient algorithms,Weng Lilian
252,2007,"The Complete TurtleTrader: The Legend, the Lessons, the Results",Covel M.
253,1992,Q-learning,Watkins Christopher J.C.H.
254,2002,A Natural Policy Gradient.”,Kakade Sham
255,2016,High-dimensional continuous control using generalized advantage estimation,Schulman John
256,2010,Double Q-learning,Hasselt H.V.
257,2017,Sample efficient actor-critic with experience replay,Wang Ziyu
258,2017,Evolution strategies as a scalable alternative to reinforcement learning,Salimans T.
259,2012,Off-policy actor-critic,Degris Thomas
260,2014,Deterministic policy gradient algorithms,Silver David
261,2015,Continuous control with deep reinforcement learning,Lillicrap Timothy P.
262,2015,Trust region policy optimization,Schulman John
263,2016,Asynchronous methods for deep reinforcement learning,Mnih Volodymyr
264,2016,Safe and efficient off-policy reinforcement learning,Munos Rémi
265,2015,Deep recurrent q-learning for partially observable mdps,Hausknecht M.
266,2015,Deep reinforcement learning with double q-learning,Hasselt H.
267,2017,Multi-agent actor-critic for mixed cooperative-competitive environments,Lowe Ryan
268,2017,Curiosity-driven exploration by self-supervised prediction,Pathak D.
269,2017,Scalable trust-region method for deep reinforcement learning using Kronecker-factored approximation,Wu Yuhuai
270,2018,Soft Actor-Critic Algorithms and Applications,Haarnoja Tuomas
271,2018,Addressing Function Approximation Error in Actor-Critic Methods,Fujimoto Scott
272,2018,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,Haarnoja Tuomas
273,2018,Distributed Distributional Deterministic Policy Gradients,Barth-Maron Gabriel
274,2019,Novelty search: a theoretical perspective,Doncieux S.
275,2002,A roadmap for future neural networks research in auditing and risk assessment‟,T.G. Calderon
276,2013,The arcade learning environment: An evaluation platform for general agents,Bellemare Marc G.
277,2020,Proximal distilled evolutionary reinforcement learning,Bodnar C.
278,2019,Learning navigation behaviors end-to-end with autorl,Chiang H.L.
279,2018,IMPALA: Scalable distributed deep-RL with importance weighted actor-learner architectures,Espeholt L.
280,2015,How to discount deep reinforcement learning: Towards new dynamic strategies,François-Lavet V.
281,2018,Addressing function approximation error in actor-critic methods,Fujimoto S.
282,2018,Distributed prioritized experience replay,Horgan D.
283,2018,Evolution-guided policy gradient in reinforcement learning,Khadka S.
284,2019,Collaborative evolutionary reinforcement learning,Khadka S.
285,2019,Sample-efficient deep reinforcement learning via episodic backward update,Lee S.Y.
286,1992,"Self-improving reactive agents based on reinforcement learning, planning and teaching",Lin L.
287,2018,Benchmarking reinforcement learning algorithms on real-world robots,Mahmood A.R.
288,1995,"Genetic algorithms, tournament selection, and the effects of noise",Miller B.L.
290,2020,Provably efficient online hyperparameter optimization with population-based bandits,Parker-Holder Jack
291,2019,Fast efficient hyperparameter tuning for policy gradient methods,Paul S.
292,1999,A lamarckian evolution strategy for genetic algorithms,Ross B.J.
293,2019,Off-policy actor-critic with shared experience replay,Schmitt Simon
294,2012,Practical Bayesian optimization of machine learning algorithms,Snoek J.
295,2002,Evolving neural networks through augmenting topologies,Stanley K.O.
296,2019,Designing neural networks through neuroevolution,Stanley K.O.
297,2012,MuJoCo: A physics engine for model-based control,Todorov E.
298,2019,E,Wallach H.
299,2016,Network morphism,Wei T.
300,2020,A self-tuning actor-critic algorithm,Zahavy Tom
301,1993,Evolving optimal neural networks using genetic algorithms with occam’s razor,Zhang B.
302,2016,Neural architecture search with reinforcement learning,Zoph Barret
303,1989,Combining Forecasts: A Review and documents/10199/242721/Barra_Global_Equity_Model_ Annotated Bibliography,Clemen Robert T.
304,1990,The Strength of Weak Learnability,Schapire R.
305,2016,Momentum Crashes,Daniel K.
306,2014,Dropout: A Simple Way to,Srivastava N.
307,2013,Applying Deep Learning to,Takeuchi L.
308,2017,International Tests of a Five-Factor Asset Pricing Enhance Momentum Trading Strategies in Stocks,Takeuchi L.
309,2018,Empirical Granger,Gu Shihao
310,2011,The NIST definition of cloud computing,Mell P.
311,2014,Resource management in clouds: Survey and research challenges,Jennings B.
312,2015,An overview of network virtualization and cloud network as a service,Alshaer H.
313,2013,Cloud monitoring: A survey,Aceto G.
314,2012,Issues and future directions in traffic classification,Dainotti A.
315,2013,Embedded Data on Intelligent Products –Impact on Real-Time Applications,Kubler S.
316,2011,Towards predictable datacenter networks,Ballani H.
317,2010,Intrusion Detection for Grid and Cloud Computing,Vieira K.
318,2015,Digital signature to help network management using flow analysis,Proenca M.L.
319,2013,Anomaly secure detection methods by analyzing dynamic characteristics of the network traffic in cloud communications,Xiong W.
320,2009,Traffic shaping for resourceefficient in-vehicle communication,Rahmani M.
321,2006,Evaluation of short-term traffic forecasting algorithms in wireless networks,Papadopouli M.
322,2014,A survey and performance evaluation of decentralized aggregation schemes for autonomic management,Makhloufi R.
323,2012,Short-term load forecasting with exponentially weighted methods,Taylor J.
324,2012,Detecting Hidden Anomalies Using Sketch for High-speed Network Data Stream Monitoring,Li A.
325,2011,Exponential moving average versus moving exponential average,Klinker F.
326,2009,Prediction and management in energy harvested wireless sensor nodes,Piorno J.R.
327,2013,Predicting traffic in the cloud: A statistical approach,Dalmazo B.L.
328,2014,Online traffic prediction in the cloud: A dynamic window approach,Dalmazo B.L.
329,2012,Small-time scale network traffic prediction based on flexible neural tree,Chen Y.
330,2008,Arima model for network traffic prediction and anomaly detection,Moayedi H.Zare
331,2011,Traffic prediction and QoS transmission of real-time live VBR videos in WLANs,Kuo W.-K.
332,2011,Self-similarity based lightweight intrusion detection method for cloud computing,Kwon H.
333,2010,Investigating self-similarity and heavy-tailed distributions on a large-scale experimental facility,Loiseau P.
334,1994,Time series prediction: Forecasting the future and understanding the past,Weigend A.S.
335,2008,Forecasting methods and applications,Makridakis S.
336,2012,Inside Dropbox: Understanding Personal Cloud Storage Services,Drago I.
337,2010,Network traffic characteristics of data centers in the wild,Benson T.
338,2017,Integrated access to big data polystores through a knowledge-driven framework,J.MCHUGH P.E.C.U.D.D.I.H.Y.
339,2019,Automated Machine Learning in Practice: State of the Art and Recent Results,TUGGENER L.
340,2013,Auto-WEKA: Combined Selection and Hyperparameter Optimization of Classification Algorithms,THORNTON C.
341,2015,Efficient and Robust Automated Machine Learning,FEURER M.
342,2015,Speeding up Automatic Hyperparameter Optimization of Deep Neural Networks by Extrapolation of Learning Curves,DOMHAN T.
343,2000,Continuous optimization of hyper-parameters,BENGIO Y.
344,2019,Automatic Neural Network Search Method for Open Set Recognition,SUN L.
345,2019,A Novel Encoding Scheme for Complex Neural Architecture Search,AHMAD M.
346,2019,Reinforcement learning for neural architecture search: A review. Image Vis,JAAFRA Y.
347,2016,Neural Architecture Search with Reinforcement Learning,ZOPH B.
348,2018,Learning Transferable Architectures for Scalable Image Recognition,ZOPH B.
349,2019,Auto-keras: An efficient neural architecture search system,HAIFENG J.I.N.
350,2017,Auto-WEKA 2.0: Automatic model selection and hyperparameter optimization in WEKA,KOTTHOFF L.
351,2013,Auto-WEKA: Combined selection and hyperparameter optimization of classification algorithms,THORNTON C.
352,2103,A few new Techniques – international conference on research and development prospects on engineering and technology(ICRDPET -2013,G.Manikandan NSairam
353,2017,Agent inspired trading using recurrent reinforcement learning and lstm neural networks,Lu D.W.
355,2018,Deep reinforcement learning for time series: playing idealized trading games,Gao X.
357,2016,Deep learning for stock prediction using numerical and textual information,Akita R.
358,1997,Nonlinear trading models through sharpe ratio maximization,Choey M.
359,2014,Empirical evaluation of gated recurrent neural networks on sequence modeling,Chung J.
361,2016,Artificial neural networks approach to the forecast of stock market price movements,Persio L.
362,2016,Deep learning,Goodfellow I.
363,1997,Long short-term memory,Hochreiter S.
364,2012,Imagenet classification with deep convolutional neural networks,Krizhevsky A.
365,2014,Online portfolio selection: a survey,Li B.
366,2017,Proximal policy optimization algorithms,Schulman J.
367,2018,Reinforcement learning: an introduction,Sutton R.S.
368,2000,Policy gradient methods for reinforcement learning with function approximation,Sutton R.S.
369,2020,Image Recognition vs Other Techniques in Predicting the Financial Market,Bai Chuan
370,2016,Gradcam: Visual Explanations from Deep Networks via Gradient-based Localization,Selvaraju R.R.
371,2013,Deep inside convolutional networks: Visualising image classification models and saliency maps,Simonyan K.
372,2000,Neuro-fuzzy rule generation: Survey in soft computing framework,Mitra S.
373,1993,POPFNN-CRI(S): Pseudo outer,
374,2003,Interpretability [64] Centre for computational intelligence 2005,Casillas J.
375,2000,Fuzzy modeling of high-dimensional systems: Complexity reduction,Jin Y.
376,1991,Rough Sets: Theoretical Aspects of Reasoning About Data,Pawlak Z.
377,1994,Chaotic time engineering from Nanyang Technological Universeries part I: Estimation of some invariant properties in state space,Kugiumtzis D.
378,1980,"Geom- the Centre for Computational Intelligence, School etry from a time series",Packard N.H.
379,1981,Detecting strange He was a Senior Software Engineer with Delphi attractors in turbulence,
380,1998,Pre- trollers from 1999 to 2003. dicting a chaotic time series using a fuzzy neural network,Maguire L.P.
381,1990,Stock market prediction system with modular neural networks,Kimoto T.
382,1986,"Learning internal representations by error University, Singapore. His research interests include propagation",
383,2006,Notes on convolutional neural networks,Bouvrie J.
384,2008,Querying and mining of time series data: experimental comparison of representations and distance measures,Ding H.
386,1995,"Y.: Convolutional networks for images, speech, and time series",LeCun Y.
387,1998,Efficient backprop,LeCun Y.
388,2010,Convolutional networks and applications in vision,LeCun Y.
389,2013,A metric learning based approach to evaluate task-specific time series similarity,Lu Y.
390,2011,Max-pooling convolutional neural networks for visionbased hand gesture recognition,Nagi J.
391,2010,G.E.: Rectified linear units improve restricted boltzmann machines,Nair V.
392,2012,Time series classification by class-specific Mahalanobis distance measures,Prekopcsak Z.
393,2012,Searching and mining trillions of time series subsequences under dynamic time warping,Rakthanmanon T.
394,2004,Making time-series classification more accurate using learned constraints,Ratanamahatana C.
395,2005,C.A.: Three Myths about Dynamic Time Warping Data Mining,
396,2007,G.E.: Learning a nonlinear embedding by preserving class neighbourhood structure,Salakhutdinov R.
397,2010,Evaluation of pooling operations in convolutional architectures for object recognition,Scherer D.
398,2013,On the importance of initialization and momentum in deep learning,Sutskever I.
399,2006,C.A.: Fast time series classification using numerosity reduction,Xi X.
400,2013,On rectified linear units for speech processing,Zeiler M.D.
401,2014,J.L.: Time series classification using multi-channels deep convolutional neural networks,Zheng Y.
402,2018,Time series classification and its applications,Buza K.
403,2015,"Kong, transformation methods for time series prediction. A catego- S. Bukkapatnam, Time series forecasting for nonlinear and nonrization of such transformation methods was presented together stationary processes: A review and comparative study",Cheng C.
